CustomerID,Age,Tenure_Months,MonthlyCharges,Contract,InternetService,TechSupport,PaymentMethod,NumSupportCalls,Churn
CUST1028,29.0,55,34.01,Month-to-Month,DSL,No,Electronic Check,3,0
CUST1029,52.0,64,106.85,One Year,DSL,No,Mailed Check,0,0
CUST1030,28.0,3,68.74,Month-to-Month,Fiber Optic,No,Credit Card,1,1
CUST1031,61.0,51,109.46,One Year,No,No,Mailed Check,4,0
CUST1032,74.0,7,99.99,Month-to-Month,DSL,Yes,Credit Card,1,1
CUST1033,21.0,21,62.52,One Year,Fiber Optic,No,Mailed Check,0,0
CUST1034,42.0,39,22.25,Month-to-Month,No,Yes,Bank Transfer,1,0
CUST1035,65.0,18,46.87,One Year,No,No,Electronic Check,1,1
CUST1036,49.0,4,74.16,Month-to-Month,No,No,Electronic Check,2,1
CUST1037,37.0,60,83.35,One Year,Fiber Optic,No,Mailed Check,2,0
CUST1038,67.0,14,45.79,Month-to-Month,Fiber Optic,Yes,Bank Transfer,3,1
CUST1039,48.0,9,33.94,One Year,Fiber Optic,No,Electronic Check,3,0
CUST1040,21.0,53,103.49,One Year,Fiber Optic,No,Credit Card,2,0
CUST1041,71.0,2,118.44,One Year,DSL,No,Mailed Check,1,0
CUST1042,55.0,60,72.57,One Year,Fiber Optic,Yes,Electronic Check,3,1
CUST1043,70.0,71,37.17,One Year,Fiber Optic,Yes,Electronic Check,1,0
CUST1044,64.0,44,47.23,Two Year,DSL,No,Mailed Check,1,0
CUST1045,18.0,8,21.84,Month-to-Month,Fiber Optic,No,Mailed Check,1,1
CUST1046,20.0,47,111.43,Two Year,Fiber Optic,Yes,Credit Card,1,1
CUST1047,54.0,35,31.78,Month-to-Month,No,Yes,Credit Card,1,1
CUST1048,39.0,36,77.65,Month-to-Month,DSL,No,Electronic Check,0,1
CUST1049,34.0,50,47.41,Month-to-Month,DSL,No,Electronic Check,3,0
CUST1050,31.0,4,75.42,Month-to-Month,Fiber Optic,No,Mailed Check,3,1
CUST1051,58.0,2,85.14,One Year,DSL,Yes,Electronic Check,3,0
CUST1052,52.0,6,102.97,One Year,Fiber Optic,Yes,Electronic Check,2,0
CUST1053,30.0,54,40.64,One Year,Fiber Optic,Yes,Mailed Check,1,0
CUST1054,52.0,4,21.1,Month-to-Month,DSL,Yes,Electronic Check,1,1
CUST1055,60.0,54,33.69,Month-to-Month,Fiber Optic,No,Electronic Check,1,0
CUST1056,19.0,63,110.0,Month-to-Month,Fiber Optic,No,Bank Transfer,2,1
CUST1057,46.0,18,107.39,Month-to-Month,Fiber Optic,Yes,Credit Card,0,1
CUST1058,64.0,44,79.74,Month-to-Month,No,Yes,Mailed Check,0,0
CUST1059,30.0,34,80.05,Month-to-Month,No,Yes,Bank Transfer,2,1
CUST1060,68.0,62,86.5,Month-to-Month,Fiber Optic,No,Credit Card,0,1
CUST1061,71.0,14,37.54,One Year,Fiber Optic,No,Credit Card,4,0
CUST1062,33.0,48,111.44,One Year,Fiber Optic,Yes,Credit Card,0,0
CUST1063,35.0,15,61.88,Two Year,No,No,Bank Transfer,0,0
CUST1064,24.0,62,58.31,Two Year,Fiber Optic,No,Bank Transfer,1,0
CUST1065,62.0,40,71.89,One Year,Fiber Optic,No,Credit Card,1,0
CUST1066,53.0,53,24.7,Month-to-Month,No,No,Electronic Check,4,1
CUST1067,58.0,24,36.63,One Year,DSL,Yes,Electronic Check,1,0
CUST1068,47.0,26,93.8,One Year,No,Yes,Bank Transfer,1,0
CUST1069,59.0,60,28.28,Month-to-Month,DSL,No,Bank Transfer,2,0
CUST1070,58.0,41,80.32,Month-to-Month,DSL,Yes,Bank Transfer,1,1
CUST1071,24.0,29,44.53,Two Year,DSL,Yes,Credit Card,5,0
CUST1072,32.0,15,58.93,Month-to-Month,No,No,Electronic Check,3,1
CUST1073,57.0,45,48.87,One Year,No,Yes,Bank Transfer,4,0
CUST1074,36.0,65,55.57,One Year,Fiber Optic,No,Bank Transfer,2,1
CUST1075,60.0,71,91.9,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,0
CUST1076,54.0,9,49.71,Month-to-Month,Fiber Optic,Yes,Credit Card,1,0
CUST1077,19.0,1,76.64,Month-to-Month,No,No,Mailed Check,2,1
CUST1078,59.0,8,67.61,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,1
CUST1079,65.0,63,86.37,Month-to-Month,Fiber Optic,No,Mailed Check,2,1
CUST1080,72.0,11,113.68,Two Year,DSL,No,Mailed Check,2,0
CUST1081,30.0,8,93.26,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,1
CUST1082,57.0,35,41.49,Month-to-Month,Fiber Optic,No,Credit Card,1,0
CUST1083,58.0,35,23.12,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,0
CUST1084,60.0,33,71.375,Two Year,DSL,No,Mailed Check,3,0
CUST1085,60.0,5,79.51,Month-to-Month,No,Yes,Credit Card,1,1
CUST1086,72.0,41,25.14,Month-to-Month,DSL,No,Electronic Check,2,0
CUST1087,48.0,28,69.64,Two Year,Fiber Optic,Yes,Bank Transfer,3,0
CUST1088,33.0,7,71.375,Two Year,No,No,Mailed Check,1,0
CUST1089,59.0,12,53.42,Month-to-Month,Fiber Optic,No,Electronic Check,0,1
CUST1090,73.0,34,97.09,Two Year,DSL,No,Mailed Check,3,0
CUST1091,61.0,33,30.66,Month-to-Month,Fiber Optic,Yes,Bank Transfer,2,0
CUST1092,74.0,48,27.51,Month-to-Month,No,Yes,Electronic Check,1,0
CUST1093,23.0,23,92.82,Month-to-Month,Fiber Optic,No,Credit Card,2,1
CUST1094,45.0,62,69.55,Month-to-Month,No,No,Electronic Check,0,0
CUST1095,49.0,37,88.84,One Year,DSL,Yes,Credit Card,0,0
CUST1096,61.0,44,63.48,Month-to-Month,Fiber Optic,No,Electronic Check,0,0
CUST1097,27.0,35,44.64,Month-to-Month,Fiber Optic,Yes,Credit Card,2,1
CUST1098,67.0,65,71.375,One Year,No,No,Bank Transfer,0,0
CUST1099,35.0,47,99.94,One Year,DSL,Yes,Bank Transfer,2,1
CUST1100,21.0,3,89.47,Month-to-Month,No,Yes,Bank Transfer,1,1
CUST1101,26.0,1,47.21,One Year,Fiber Optic,No,Electronic Check,1,1
CUST1102,24.0,5,79.02,Month-to-Month,Fiber Optic,Yes,Bank Transfer,3,1
CUST1103,67.0,14,56.1,One Year,DSL,No,Mailed Check,1,1
CUST1104,25.0,27,29.16,One Year,No,No,Bank Transfer,1,0
CUST1105,60.0,9,111.73,Two Year,DSL,Yes,Credit Card,0,1
CUST1106,24.0,15,33.68,Month-to-Month,DSL,Yes,Credit Card,4,1
CUST1107,58.0,42,115.02,Month-to-Month,DSL,No,Credit Card,0,0
CUST1108,57.0,51,64.6,Month-to-Month,No,Yes,Electronic Check,4,0
CUST1109,20.0,63,38.51,Month-to-Month,Fiber Optic,No,Mailed Check,1,0
CUST1110,34.0,52,74.19,Month-to-Month,Fiber Optic,No,Bank Transfer,2,1
CUST1111,19.0,4,107.29,Two Year,DSL,No,Mailed Check,1,1
CUST1112,32.0,23,93.22,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,1
CUST1113,63.0,15,100.66,Month-to-Month,Fiber Optic,Yes,Credit Card,1,1
CUST1114,46.0,43,85.88,One Year,No,Yes,Credit Card,1,0
CUST1115,67.0,29,89.23,Month-to-Month,No,Yes,Credit Card,1,0
CUST1116,65.0,36,104.92,One Year,DSL,No,Electronic Check,1,0
CUST1117,69.0,13,44.97,Month-to-Month,Fiber Optic,No,Mailed Check,0,1
CUST1118,39.0,32,68.94,Month-to-Month,DSL,No,Mailed Check,3,0
CUST1119,21.0,71,42.12,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,0
CUST1120,74.0,59,71.375,Month-to-Month,DSL,Yes,Electronic Check,0,1
CUST1121,69.0,28,114.41,Two Year,DSL,No,Electronic Check,3,1
CUST1122,23.0,66,71.375,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,1
CUST1123,55.0,42,90.56,Month-to-Month,Fiber Optic,No,Mailed Check,2,1
CUST1124,43.0,45,112.52,Month-to-Month,DSL,Yes,Credit Card,1,0
CUST1125,28.0,62,38.06,Month-to-Month,Fiber Optic,No,Credit Card,2,0
CUST1126,43.0,57,76.79,Two Year,Fiber Optic,No,Mailed Check,1,0
CUST1127,34.0,6,111.55,Month-to-Month,DSL,Yes,Credit Card,2,1
CUST1128,41.0,28,23.39,One Year,Fiber Optic,Yes,Electronic Check,4,0
CUST1129,45.0,28,89.74,Two Year,DSL,No,Bank Transfer,0,0
CUST1130,52.0,44,49.73,One Year,Fiber Optic,Yes,Credit Card,1,1
CUST1131,48.0,30,112.44,Two Year,Fiber Optic,No,Mailed Check,0,0
CUST1132,30.0,62,117.11,Month-to-Month,DSL,No,Credit Card,0,0
CUST1133,71.0,62,114.43,Month-to-Month,DSL,No,Credit Card,2,1
CUST1134,52.0,1,67.42,Month-to-Month,Fiber Optic,No,Credit Card,0,1
CUST1135,33.0,27,106.2,One Year,No,Yes,Bank Transfer,1,0
CUST1136,32.0,62,104.45,Two Year,Fiber Optic,Yes,Electronic Check,0,0
CUST1137,60.0,3,51.91,Month-to-Month,Fiber Optic,No,Mailed Check,0,1
CUST1138,35.0,70,102.89,One Year,Fiber Optic,No,Bank Transfer,3,0
CUST1139,64.0,27,23.7,Month-to-Month,DSL,No,Mailed Check,3,0
CUST1140,54.0,9,79.63,One Year,Fiber Optic,Yes,Mailed Check,1,1
CUST1141,65.0,62,43.0,Month-to-Month,Fiber Optic,Yes,Mailed Check,3,1
CUST1142,65.0,37,32.06,Two Year,DSL,No,Bank Transfer,1,0
CUST1143,46.0,51,27.7,One Year,DSL,Yes,Electronic Check,5,0
CUST1144,46.0,44,89.63,Month-to-Month,DSL,No,Mailed Check,1,1
CUST1145,44.0,24,53.99,Month-to-Month,Fiber Optic,No,Electronic Check,3,1
CUST1146,72.0,59,92.48,Month-to-Month,No,No,Electronic Check,1,0
CUST1147,52.0,32,26.54,Month-to-Month,DSL,No,Credit Card,2,1
CUST1148,69.0,52,51.53,Month-to-Month,Fiber Optic,No,Bank Transfer,1,1
CUST1149,62.0,62,73.95,Two Year,DSL,No,Bank Transfer,2,1
CUST1150,71.0,58,99.07,One Year,No,Yes,Credit Card,0,0
CUST1151,52.0,52,51.88,Month-to-Month,DSL,No,Credit Card,2,0
CUST1152,45.0,12,82.59,Month-to-Month,Fiber Optic,No,Electronic Check,1,0
CUST1153,56.0,39,108.6,Two Year,Fiber Optic,No,Mailed Check,1,0
CUST1154,55.0,2,81.59,One Year,Fiber Optic,No,Bank Transfer,2,1
CUST1155,26.0,3,71.375,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,0
CUST1156,29.0,56,22.44,One Year,DSL,No,Mailed Check,2,0
CUST1157,32.0,59,107.01,Month-to-Month,Fiber Optic,No,Credit Card,0,0
CUST1158,38.0,2,22.13,Month-to-Month,DSL,Yes,Mailed Check,0,1
CUST1159,69.0,2,107.47,Month-to-Month,DSL,No,Electronic Check,2,1
CUST1160,52.0,54,71.375,Month-to-Month,Fiber Optic,No,Credit Card,1,0
CUST1161,59.0,1,113.91,Month-to-Month,DSL,No,Mailed Check,1,0
CUST1162,50.0,19,99.88,Two Year,DSL,No,Credit Card,4,1
CUST1163,68.0,2,119.79,Two Year,Fiber Optic,No,Electronic Check,2,1
CUST1164,36.0,53,55.07,One Year,No,Yes,Electronic Check,1,0
CUST1165,72.0,44,96.72,Month-to-Month,Fiber Optic,No,Mailed Check,1,1
CUST1166,40.0,32,60.19,Month-to-Month,DSL,Yes,Credit Card,1,1
CUST1167,30.0,70,67.99,One Year,DSL,No,Mailed Check,2,0
CUST1168,61.0,32,82.75,Month-to-Month,No,No,Mailed Check,1,1
CUST1169,18.0,68,107.37,Month-to-Month,DSL,Yes,Credit Card,3,1
CUST1170,68.0,55,118.41,Month-to-Month,DSL,Yes,Mailed Check,0,0
CUST1171,46.0,56,96.83,Two Year,Fiber Optic,No,Electronic Check,0,0
CUST1172,41.0,17,61.78,Month-to-Month,Fiber Optic,Yes,Credit Card,4,1
CUST1173,33.0,38,62.14,Month-to-Month,Fiber Optic,No,Credit Card,2,1
CUST1174,42.0,24,93.76,One Year,DSL,Yes,Credit Card,2,0
CUST1175,72.0,69,43.88,Month-to-Month,DSL,Yes,Credit Card,1,0
CUST1176,40.0,70,31.05,Month-to-Month,No,No,Mailed Check,3,0
CUST1177,45.0,11,55.46,Month-to-Month,DSL,No,Mailed Check,3,1
CUST1178,64.0,16,48.72,Month-to-Month,Fiber Optic,No,Electronic Check,2,1
CUST1179,33.0,59,49.63,One Year,Fiber Optic,Yes,Bank Transfer,0,0
CUST1180,60.0,70,43.36,Month-to-Month,Fiber Optic,No,Bank Transfer,0,0
CUST1181,73.0,3,24.21,Month-to-Month,DSL,No,Electronic Check,0,1
CUST1182,55.0,20,21.79,Two Year,DSL,No,Bank Transfer,1,1
CUST1183,28.0,59,118.77,Two Year,Fiber Optic,No,Electronic Check,0,1
CUST1184,20.0,36,62.78,Two Year,No,No,Mailed Check,2,0
CUST1185,32.0,19,58.43,Month-to-Month,No,No,Credit Card,0,1
CUST1186,18.0,67,87.96,Month-to-Month,DSL,Yes,Credit Card,4,1
CUST1187,24.0,19,41.83,Two Year,DSL,No,Mailed Check,0,0
CUST1188,18.0,20,115.0,One Year,No,Yes,Credit Card,0,0
CUST1189,66.0,71,98.63,Month-to-Month,Fiber Optic,No,Credit Card,0,0
CUST1190,49.0,52,28.94,Month-to-Month,No,Yes,Bank Transfer,2,0
CUST1191,26.0,33,61.76,Month-to-Month,DSL,No,Mailed Check,0,1
CUST1192,46.0,40,107.91,Two Year,Fiber Optic,No,Bank Transfer,2,0
CUST1193,43.0,39,114.47,Month-to-Month,Fiber Optic,Yes,Bank Transfer,1,0
CUST1194,40.0,1,66.74,Month-to-Month,Fiber Optic,Yes,Credit Card,2,1
CUST1195,62.0,11,81.34,Month-to-Month,Fiber Optic,Yes,Credit Card,1,1
CUST1196,60.0,57,36.7,One Year,DSL,No,Mailed Check,2,0
CUST1197,46.0,50,119.12,Two Year,Fiber Optic,No,Credit Card,3,1
CUST1198,69.0,23,43.17,Month-to-Month,DSL,Yes,Credit Card,0,0
CUST1199,55.0,31,114.27,One Year,Fiber Optic,No,Mailed Check,3,1
CUST1200,50.0,42,84.96,Two Year,No,Yes,Credit Card,3,0
CUST1201,24.0,7,80.77,Month-to-Month,Fiber Optic,No,Bank Transfer,2,0
CUST1202,29.0,16,71.27,Month-to-Month,No,No,Mailed Check,1,0
CUST1203,48.0,60,43.07,Month-to-Month,DSL,Yes,Credit Card,1,0
CUST1204,49.0,2,37.65,One Year,Fiber Optic,No,Electronic Check,3,0
CUST1205,71.0,1,42.05,One Year,No,Yes,Mailed Check,2,1
CUST1206,37.0,48,38.64,One Year,DSL,Yes,Mailed Check,1,0
CUST1207,72.0,12,97.96,One Year,DSL,Yes,Electronic Check,2,0
CUST1208,68.0,69,55.01,Month-to-Month,Fiber Optic,Yes,Credit Card,0,0
CUST1209,34.0,37,25.78,Two Year,DSL,No,Credit Card,0,0
CUST1210,53.0,32,116.91,Month-to-Month,Fiber Optic,No,Mailed Check,3,1
CUST1211,20.0,9,108.38,Month-to-Month,No,No,Mailed Check,1,1
CUST1212,18.0,19,112.78,One Year,Fiber Optic,Yes,Credit Card,2,1
CUST1213,67.0,48,119.49,One Year,DSL,Yes,Credit Card,1,0
CUST1214,44.0,3,37.39,Month-to-Month,Fiber Optic,No,Bank Transfer,1,0
CUST1215,70.0,20,59.62,Two Year,Fiber Optic,No,Mailed Check,1,0
CUST1216,64.0,24,95.82,Two Year,DSL,Yes,Mailed Check,4,1
CUST1217,57.0,54,89.6,Month-to-Month,Fiber Optic,No,Electronic Check,0,0
CUST1218,50.0,33,35.39,Two Year,Fiber Optic,No,Bank Transfer,1,0
CUST1219,37.0,24,101.58,Month-to-Month,Fiber Optic,No,Credit Card,3,1
CUST1220,31.0,36,42.44,Month-to-Month,DSL,No,Bank Transfer,0,0
CUST1221,53.0,38,42.38,Month-to-Month,Fiber Optic,Yes,Credit Card,1,0
CUST1222,22.0,25,73.7,Two Year,DSL,Yes,Credit Card,1,0
CUST1223,40.0,18,79.29,One Year,DSL,No,Bank Transfer,0,1
CUST1224,62.0,66,78.01,Month-to-Month,No,Yes,Mailed Check,3,0
CUST1225,73.0,54,29.15,Month-to-Month,Fiber Optic,No,Credit Card,0,0
CUST1226,32.0,35,107.75,One Year,DSL,No,Bank Transfer,2,0
CUST1227,23.0,61,46.56,Month-to-Month,DSL,Yes,Electronic Check,0,0
CUST1228,50.0,41,32.95,Two Year,DSL,No,Bank Transfer,2,1
CUST1229,72.0,33,108.87,Two Year,DSL,Yes,Electronic Check,1,0
CUST1230,36.0,68,71.375,Month-to-Month,DSL,No,Credit Card,3,1
CUST1231,30.0,33,106.21,Two Year,DSL,No,Bank Transfer,3,0
CUST1232,46.0,14,71.375,Month-to-Month,Fiber Optic,No,Bank Transfer,2,1
CUST1233,23.0,21,85.52,Two Year,Fiber Optic,No,Electronic Check,3,0
CUST1234,32.0,48,75.09,One Year,Fiber Optic,No,Bank Transfer,2,0
CUST1235,46.0,20,28.7,One Year,Fiber Optic,No,Bank Transfer,1,1
CUST1236,41.0,8,60.85,Month-to-Month,DSL,No,Credit Card,0,0
CUST1237,40.0,7,57.27,Two Year,No,Yes,Bank Transfer,2,1
CUST1238,65.0,67,45.98,Month-to-Month,No,Yes,Mailed Check,0,0
CUST1239,27.0,17,92.34,Month-to-Month,No,Yes,Electronic Check,1,0
CUST1240,71.0,33,69.59,Month-to-Month,No,Yes,Bank Transfer,0,0
CUST1241,58.0,48,28.1,One Year,No,No,Electronic Check,0,0
CUST1242,58.0,59,42.02,Month-to-Month,Fiber Optic,No,Electronic Check,4,0
CUST1243,66.0,22,88.33,One Year,DSL,No,Electronic Check,2,1
CUST1244,34.0,30,27.61,Two Year,Fiber Optic,Yes,Bank Transfer,0,0
CUST1245,66.0,38,105.12,Month-to-Month,Fiber Optic,No,Bank Transfer,3,1
CUST1246,73.0,51,69.51,One Year,Fiber Optic,Yes,Electronic Check,0,0
CUST1247,61.0,54,68.06,Month-to-Month,Fiber Optic,No,Mailed Check,1,0
CUST1248,62.0,8,79.24,Two Year,DSL,No,Electronic Check,2,0
CUST1249,47.0,27,102.47,Two Year,Fiber Optic,Yes,Mailed Check,2,1
CUST1250,61.0,27,54.78,Month-to-Month,No,Yes,Electronic Check,1,0
CUST1251,63.0,21,87.8,One Year,Fiber Optic,Yes,Credit Card,4,1
CUST1252,27.0,30,76.57,Month-to-Month,Fiber Optic,No,Electronic Check,1,1
CUST1253,72.0,28,46.7,Month-to-Month,DSL,No,Electronic Check,2,0
CUST1254,36.0,64,107.86,Two Year,Fiber Optic,No,Bank Transfer,3,0
CUST1255,46.0,69,99.74,Month-to-Month,No,Yes,Mailed Check,0,0
CUST1256,19.0,61,71.375,Month-to-Month,Fiber Optic,No,Credit Card,2,0
CUST1257,53.0,48,105.06,Month-to-Month,Fiber Optic,No,Mailed Check,1,0
CUST1258,36.0,19,106.73,Two Year,Fiber Optic,No,Credit Card,1,1
CUST1259,24.0,4,90.84,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,1
CUST1260,43.0,35,103.7,Month-to-Month,DSL,Yes,Bank Transfer,1,1
CUST1261,32.0,64,89.75,One Year,Fiber Optic,No,Bank Transfer,2,0
CUST1262,64.0,49,88.01,Two Year,Fiber Optic,Yes,Mailed Check,2,1
CUST1263,73.0,17,81.86,Month-to-Month,Fiber Optic,Yes,Bank Transfer,1,1
CUST1264,55.0,44,95.27,Month-to-Month,Fiber Optic,No,Mailed Check,2,0
CUST1265,20.0,30,35.86,Month-to-Month,No,No,Mailed Check,3,1
CUST1266,55.0,46,71.375,Month-to-Month,DSL,No,Credit Card,2,1
CUST1267,33.0,6,107.18,Month-to-Month,No,No,Mailed Check,2,1
CUST1268,19.0,37,22.92,One Year,DSL,No,Credit Card,3,1
CUST1269,48.0,24,102.58,One Year,Fiber Optic,No,Bank Transfer,1,1
CUST1270,45.0,46,32.89,One Year,DSL,Yes,Mailed Check,1,0
CUST1271,24.0,53,53.51,Month-to-Month,DSL,No,Mailed Check,2,0
CUST1272,47.0,60,94.35,Two Year,Fiber Optic,Yes,Electronic Check,0,0
CUST1273,60.0,63,36.08,Month-to-Month,DSL,No,Mailed Check,2,0
CUST1274,24.0,32,101.8,Two Year,Fiber Optic,Yes,Mailed Check,0,0
CUST1275,53.0,33,103.21,One Year,No,Yes,Electronic Check,1,0
CUST1276,46.0,67,70.75,Month-to-Month,DSL,No,Electronic Check,0,0
CUST1277,41.0,18,20.64,One Year,Fiber Optic,Yes,Bank Transfer,1,1
CUST1278,69.0,25,48.7,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,0
CUST1279,56.0,54,81.69,One Year,Fiber Optic,Yes,Bank Transfer,2,0
CUST1280,21.0,58,118.12,Month-to-Month,DSL,No,Bank Transfer,1,0
CUST1281,46.0,67,83.18,Month-to-Month,DSL,No,Electronic Check,2,1
CUST1282,61.0,46,45.98,Two Year,DSL,No,Credit Card,1,0
CUST1283,22.0,24,83.4,Month-to-Month,DSL,No,Bank Transfer,2,0
CUST1284,72.0,32,74.0,Two Year,DSL,No,Credit Card,1,1
CUST1285,46.0,47,97.98,Month-to-Month,Fiber Optic,No,Mailed Check,1,0
CUST1286,47.0,23,30.7,One Year,No,No,Electronic Check,1,0
CUST1287,46.0,66,96.1,One Year,No,Yes,Mailed Check,2,0
CUST1288,43.0,27,74.13,Month-to-Month,Fiber Optic,Yes,Mailed Check,2,1
CUST1289,36.0,2,116.3,Month-to-Month,DSL,No,Electronic Check,0,1
CUST1290,43.0,17,54.19,Month-to-Month,DSL,No,Mailed Check,1,0
CUST1291,54.0,33,83.26,Month-to-Month,DSL,No,Electronic Check,0,0
CUST1292,44.0,9,113.2,Month-to-Month,DSL,Yes,Credit Card,4,1
CUST1293,47.0,43,30.25,One Year,Fiber Optic,Yes,Mailed Check,1,1
CUST1294,46.0,48,113.72,Two Year,Fiber Optic,No,Electronic Check,2,0
CUST1295,70.0,39,88.79,Two Year,Fiber Optic,Yes,Bank Transfer,1,1
CUST1296,47.0,42,26.78,One Year,Fiber Optic,No,Mailed Check,0,0
CUST1297,20.0,26,50.1,One Year,No,No,Credit Card,0,0
CUST1298,60.0,50,90.82,One Year,Fiber Optic,No,Electronic Check,4,0
CUST1299,24.0,25,26.74,Month-to-Month,DSL,No,Mailed Check,0,0
CUST1300,66.0,24,78.22,Two Year,No,No,Mailed Check,1,1
CUST1301,74.0,13,54.59,One Year,No,No,Mailed Check,2,1
CUST1302,26.0,60,82.09,One Year,DSL,No,Credit Card,0,0
CUST1303,70.0,7,24.57,Month-to-Month,Fiber Optic,No,Electronic Check,0,0
CUST1304,58.0,57,107.15,Month-to-Month,Fiber Optic,Yes,Bank Transfer,3,0
CUST1305,59.0,36,117.35,Month-to-Month,No,Yes,Bank Transfer,1,1
CUST1306,30.0,45,116.89,Two Year,No,Yes,Bank Transfer,0,0
CUST1307,32.0,20,94.97,Month-to-Month,DSL,No,Electronic Check,2,1
CUST1308,71.0,65,33.01,Month-to-Month,Fiber Optic,No,Bank Transfer,2,0
CUST1309,22.0,8,71.375,Two Year,Fiber Optic,No,Credit Card,3,1
CUST1310,46.0,16,22.46,Month-to-Month,Fiber Optic,Yes,Electronic Check,0,1
CUST1311,52.0,14,22.21,Month-to-Month,DSL,Yes,Mailed Check,0,1
CUST1312,44.0,15,52.36,Month-to-Month,No,No,Credit Card,0,1
CUST1313,44.0,66,68.86,One Year,Fiber Optic,Yes,Mailed Check,2,0
CUST1314,25.0,32,97.04,Two Year,No,No,Bank Transfer,1,0
CUST1315,49.0,63,88.33,Month-to-Month,No,No,Credit Card,1,0
CUST1316,37.0,51,64.59,Two Year,Fiber Optic,No,Electronic Check,1,0
CUST1317,27.0,25,47.36,Month-to-Month,Fiber Optic,Yes,Credit Card,1,0
CUST1318,30.0,58,119.71,Two Year,Fiber Optic,Yes,Mailed Check,1,1
CUST1319,46.0,63,62.62,One Year,DSL,Yes,Electronic Check,0,0
CUST1320,52.0,62,65.14,Two Year,Fiber Optic,No,Credit Card,0,0
CUST1321,71.0,22,36.36,Month-to-Month,DSL,No,Credit Card,1,0
CUST1322,25.0,58,99.48,Two Year,Fiber Optic,Yes,Credit Card,3,0
CUST1323,46.0,58,89.37,One Year,DSL,No,Credit Card,0,0
CUST1324,48.0,49,42.08,Month-to-Month,DSL,No,Electronic Check,0,1
CUST1325,58.0,52,28.24,Two Year,DSL,Yes,Mailed Check,1,0
CUST1326,47.0,42,88.05,Month-to-Month,DSL,No,Credit Card,0,1
CUST1327,39.0,70,85.45,Two Year,Fiber Optic,No,Electronic Check,0,0
CUST1328,38.0,15,47.33,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,1
CUST1329,29.0,54,115.09,One Year,Fiber Optic,Yes,Credit Card,2,0
CUST1330,28.0,60,35.11,Month-to-Month,DSL,No,Mailed Check,0,0
CUST1331,19.0,8,63.23,Month-to-Month,DSL,No,Mailed Check,0,0
CUST1332,67.0,53,114.36,Month-to-Month,DSL,No,Electronic Check,5,0
CUST1333,58.0,60,61.97,Month-to-Month,DSL,No,Mailed Check,1,0
