CustomerID,Age,Tenure_Months,Contract,InternetService,TechSupport,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST1059,19,3,Month-to-Month,No Internet,Yes,Bank Transfer,47.56,218.84,0
CUST1060,43,51,Month-to-Month,Fiber Optic,Yes,Mailed Check,97.28,4965.09,1
CUST1061,71,19,One Year,Fiber Optic,Yes,Bank Transfer,22.96,491.21,1
CUST1062,40,22,Month-to-Month,Fiber Optic,Yes,Mailed Check,74.25,1654.87,1
CUST1063,32,68,One Year,No Internet,No,Bank Transfer,66.97,4510.75,0
CUST1064,56,59,One Year,No Internet,No,Mailed Check,92.63,5397.75,1
CUST1065,29,48,One Year,DSL,No,Credit Card,99.87,4786.58,1
CUST1066,72,17,Two Year,Fiber Optic,No,Electronic Check,109.99,1895.96,0
CUST1067,36,13,Month-to-Month,No Internet,No,Mailed Check,39.64,464.38,1
CUST1068,42,10,Month-to-Month,Fiber Optic,No,Bank Transfer,106.55,1017.87,1
CUST1069,34,68,Month-to-Month,DSL,Yes,Mailed Check,98.21,6655.47,0
CUST1070,42,15,Month-to-Month,Fiber Optic,No,Bank Transfer,80.04,1202.96,1
CUST1071,50,21,Month-to-Month,Fiber Optic,Yes,Electronic Check,98.06,2038.53,1
CUST1072,58,54,Month-to-Month,No Internet,Yes,Bank Transfer,45.91,2427.77,0
CUST1073,38,16,Month-to-Month,Fiber Optic,Yes,Credit Card,112.32,1913.44,1
CUST1074,60,60,Two Year,DSL,No,Electronic Check,117.54,7124.84,0
CUST1075,64,36,Two Year,No Internet,Yes,Credit Card,61.0,2238.98,0
CUST1076,19,49,Month-to-Month,Fiber Optic,Yes,Credit Card,52.66,2537.92,1
CUST1077,43,5,Month-to-Month,Fiber Optic,Yes,Credit Card,74.82,379.2,1
CUST1078,49,44,One Year,Fiber Optic,Yes,Bank Transfer,28.0,1234.74,0
CUST1079,45,55,Month-to-Month,DSL,Yes,Mailed Check,90.17,4990.57,1
CUST1080,61,44,Month-to-Month,No Internet,No,Credit Card,52.87,2323.99,0
CUST1081,26,51,One Year,DSL,No,Bank Transfer,51.78,2616.21,1
CUST1082,63,40,Two Year,Fiber Optic,No,Mailed Check,25.57,964.3,0
CUST1083,67,4,Two Year,No Internet,No,Credit Card,37.73,130.34,1
CUST1084,27,30,One Year,DSL,No,Mailed Check,31.82,950.24,0
CUST1085,35,13,Month-to-Month,DSL,Yes,Electronic Check,51.2,668.81,0
CUST1086,46,30,One Year,Fiber Optic,No,Credit Card,91.76,2738.08,1
CUST1087,67,9,Month-to-Month,Fiber Optic,Yes,Bank Transfer,116.78,1056.09,1
CUST1088,26,55,One Year,Fiber Optic,Yes,Credit Card,91.04,5036.9,0
CUST1089,42,39,Month-to-Month,No Internet,No,Electronic Check,21.99,843.28,1
CUST1090,25,71,Month-to-Month,DSL,No,Credit Card,48.71,3505.0,1
CUST1091,30,22,Month-to-Month,Fiber Optic,No,Electronic Check,31.96,716.56,0
CUST1092,57,45,Month-to-Month,No Internet,No,Bank Transfer,119.38,5401.65,1
CUST1093,52,8,One Year,DSL,No,Electronic Check,102.04,883.31,0
CUST1094,62,70,Month-to-Month,Fiber Optic,Yes,Bank Transfer,82.92,5838.15,0
CUST1095,66,53,Month-to-Month,DSL,No,Bank Transfer,32.05,1784.06,0
CUST1096,51,42,Two Year,Fiber Optic,No,Bank Transfer,117.42,4976.02,1
CUST1097,32,30,One Year,DSL,No,Electronic Check,32.61,944.16,0
CUST1098,34,27,Month-to-Month,DSL,No,Electronic Check,89.2,2474.1,1
CUST1099,48,65,Month-to-Month,DSL,Yes,Bank Transfer,76.05,4990.54,0
CUST1100,33,63,Two Year,No Internet,Yes,Mailed Check,42.05,2660.32,0
CUST1101,58,13,Month-to-Month,Fiber Optic,Yes,Electronic Check,97.54,1202.08,1
CUST1102,70,7,One Year,Fiber Optic,Yes,Bank Transfer,32.67,259.5,0
CUST1103,52,35,Two Year,DSL,Yes,Bank Transfer,99.83,3455.12,1
CUST1104,60,60,Two Year,Fiber Optic,No,Mailed Check,61.97,3793.01,0
CUST1105,21,18,One Year,No Internet,No,Mailed Check,26.36,399.96,0
CUST1106,40,6,Two Year,No Internet,Yes,Bank Transfer,41.3,239.66,0
CUST1107,43,50,One Year,DSL,Yes,Credit Card,100.95,4949.76,1
CUST1108,37,55,Two Year,Fiber Optic,No,Electronic Check,66.95,3607.07,0
CUST1109,49,55,One Year,DSL,No,Bank Transfer,25.53,1339.78,0
CUST1110,52,48,One Year,DSL,No,Bank Transfer,83.45,3972.96,1
CUST1111,38,38,Month-to-Month,No Internet,Yes,Credit Card,31.91,1210.21,0
CUST1112,26,22,Month-to-Month,DSL,Yes,Mailed Check,37.61,856.84,0
CUST1113,53,5,Month-to-Month,Fiber Optic,No,Credit Card,76.45,364.38,1
CUST1114,74,7,Month-to-Month,Fiber Optic,Yes,Electronic Check,106.84,734.16,1
CUST1115,39,31,One Year,Fiber Optic,No,Bank Transfer,34.05,1060.31,0
CUST1116,49,57,Two Year,DSL,Yes,Credit Card,102.04,5825.68,0
CUST1117,68,52,One Year,DSL,No,Credit Card,88.41,4544.75,1
CUST1118,54,56,Month-to-Month,Fiber Optic,No,Mailed Check,117.58,6507.62,1
CUST1119,39,13,Two Year,No Internet,No,Credit Card,76.33,1044.38,1
CUST1120,55,37,One Year,DSL,Yes,Mailed Check,47.43,1801.64,0
CUST1121,23,59,Month-to-Month,No Internet,No,Mailed Check,80.2,4795.77,1
CUST1122,20,42,One Year,Fiber Optic,Yes,Electronic Check,53.09,2271.64,1
CUST1123,51,16,Two Year,DSL,No,Bank Transfer,89.81,1442.85,1
CUST1124,28,44,One Year,Fiber Optic,No,Mailed Check,110.48,4907.44,1
CUST1125,26,60,Month-to-Month,Fiber Optic,No,Mailed Check,42.76,2662.84,1
CUST1126,46,64,One Year,DSL,No,Electronic Check,111.49,7174.49,0
CUST1127,43,29,Two Year,Fiber Optic,No,Credit Card,67.13,1907.83,0
CUST1128,62,17,One Year,DSL,No,Mailed Check,50.57,854.62,1
CUST1129,29,6,One Year,Fiber Optic,No,Bank Transfer,88.28,556.43,1
CUST1130,37,36,Two Year,Fiber Optic,No,Credit Card,44.58,1583.14,0
CUST1131,26,33,Month-to-Month,No Internet,No,Electronic Check,36.63,1215.1,0
CUST1132,49,34,Month-to-Month,Fiber Optic,Yes,Bank Transfer,24.03,639.44,0
CUST1133,69,46,Two Year,Fiber Optic,No,Credit Card,50.61,2319.31,0
CUST1134,55,41,Month-to-Month,Fiber Optic,Yes,Credit Card,75.12,3110.58,1
CUST1135,58,15,One Year,DSL,Yes,Bank Transfer,68.38,1085.14,0
CUST1136,39,46,Month-to-Month,DSL,No,Electronic Check,86.8,3940.83,1
CUST1137,64,43,One Year,Fiber Optic,No,Bank Transfer,115.7,4953.4,0
CUST1138,68,35,Month-to-Month,No Internet,No,Electronic Check,60.54,2090.53,0
CUST1139,39,56,Month-to-Month,DSL,No,Mailed Check,89.4,4988.98,0
CUST1140,47,19,Month-to-Month,DSL,Yes,Credit Card,44.67,852.81,1
CUST1141,49,10,Month-to-Month,Fiber Optic,Yes,Mailed Check,72.71,779.01,1
CUST1142,44,14,One Year,Fiber Optic,No,Electronic Check,30.22,378.82,1
CUST1143,43,44,Month-to-Month,Fiber Optic,No,Mailed Check,63.34,2791.88,1
CUST1144,35,2,Month-to-Month,DSL,No,Electronic Check,63.02,200.18,1
CUST1145,32,32,Month-to-Month,Fiber Optic,Yes,Credit Card,72.54,2266.16,1
CUST1146,48,15,One Year,DSL,No,Mailed Check,113.77,1767.18,1
CUST1147,43,49,Two Year,DSL,No,Credit Card,74.47,3651.64,0
CUST1148,35,26,Month-to-Month,DSL,No,Credit Card,54.97,1455.66,1
CUST1149,49,34,Month-to-Month,DSL,Yes,Bank Transfer,94.95,3185.13,1
CUST1150,30,65,Month-to-Month,Fiber Optic,No,Credit Card,82.51,5350.19,1
CUST1151,24,59,Month-to-Month,Fiber Optic,No,Mailed Check,104.42,6091.63,0
CUST1152,31,11,One Year,Fiber Optic,Yes,Credit Card,116.4,1323.6,1
CUST1153,58,53,Month-to-Month,Fiber Optic,Yes,Credit Card,22.45,1186.13,0
CUST1154,35,28,Month-to-Month,Fiber Optic,Yes,Mailed Check,28.58,839.42,0
CUST1155,59,29,Month-to-Month,DSL,No,Bank Transfer,92.66,2707.6,1
CUST1156,55,9,Month-to-Month,Fiber Optic,No,Mailed Check,99.72,846.11,1
CUST1157,65,45,Month-to-Month,Fiber Optic,Yes,Credit Card,117.22,5296.86,1
CUST1158,64,52,Month-to-Month,DSL,Yes,Credit Card,47.18,2501.77,0
CUST1159,31,55,One Year,DSL,Yes,Mailed Check,96.26,5310.62,0
CUST1160,37,43,Month-to-Month,DSL,Yes,Credit Card,58.95,2533.33,1
CUST1161,30,8,One Year,No Internet,No,Bank Transfer,31.57,216.85,0
CUST1162,49,16,Month-to-Month,Fiber Optic,Yes,Bank Transfer,82.55,1272.89,0
CUST1163,52,1,Month-to-Month,DSL,No,Mailed Check,46.46,0.0,1
CUST1164,38,49,One Year,No Internet,No,Credit Card,110.93,5411.92,0
CUST1165,27,65,Month-to-Month,Fiber Optic,Yes,Mailed Check,102.33,6693.86,1
CUST1166,55,45,Month-to-Month,DSL,Yes,Mailed Check,32.64,1427.12,1
CUST1167,70,10,One Year,Fiber Optic,No,Mailed Check,111.23,1208.33,1
CUST1168,28,47,One Year,DSL,No,Bank Transfer,62.4,2905.05,0
CUST1169,31,57,Month-to-Month,DSL,Yes,Credit Card,64.61,3641.74,0
CUST1170,18,49,Month-to-Month,DSL,No,Bank Transfer,113.63,5609.19,1
CUST1171,43,44,Month-to-Month,DSL,No,Mailed Check,41.83,1833.4,0
CUST1172,21,6,Month-to-Month,DSL,Yes,Credit Card,63.54,379.08,1
CUST1173,24,22,Month-to-Month,No Internet,No,Mailed Check,109.5,2363.17,1
CUST1174,32,17,Month-to-Month,Fiber Optic,Yes,Bank Transfer,33.25,479.38,1
CUST1175,41,12,One Year,DSL,No,Credit Card,78.47,1031.56,0
CUST1176,42,33,Two Year,DSL,Yes,Credit Card,113.0,3724.37,1
CUST1177,49,41,Two Year,DSL,No,Electronic Check,35.72,1412.64,0
CUST1178,31,37,Month-to-Month,Fiber Optic,No,Electronic Check,53.15,1993.19,1
CUST1179,34,70,Month-to-Month,DSL,No,Credit Card,67.46,4706.98,0
CUST1180,29,29,Two Year,DSL,Yes,Electronic Check,83.54,2435.92,0
CUST1181,41,50,Two Year,Fiber Optic,No,Bank Transfer,102.84,5245.43,0
CUST1182,73,62,One Year,Fiber Optic,No,Bank Transfer,76.89,4738.25,0
CUST1183,42,53,Month-to-Month,Fiber Optic,Yes,Mailed Check,33.67,1789.22,1
CUST1184,21,8,Month-to-Month,Fiber Optic,No,Bank Transfer,79.9,598.98,1
CUST1185,22,59,One Year,Fiber Optic,No,Credit Card,90.34,5337.95,0
CUST1186,60,51,Month-to-Month,Fiber Optic,No,Bank Transfer,81.74,4221.62,0
CUST1187,68,49,Month-to-Month,No Internet,Yes,Electronic Check,119.15,5803.5,0
CUST1188,40,48,Month-to-Month,DSL,No,Mailed Check,110.29,5341.11,1
CUST1189,19,63,One Year,DSL,No,Electronic Check,57.84,3567.92,0
CUST1190,28,25,Two Year,No Internet,No,Mailed Check,23.83,620.17,0
CUST1191,54,68,Month-to-Month,DSL,Yes,Credit Card,35.1,2368.76,0
CUST1192,25,8,Two Year,Fiber Optic,No,Electronic Check,53.39,432.0,1
CUST1193,60,50,One Year,DSL,Yes,Credit Card,56.0,2801.15,0
CUST1194,26,33,Month-to-Month,Fiber Optic,No,Credit Card,22.45,757.86,1
CUST1195,68,34,Month-to-Month,Fiber Optic,Yes,Credit Card,21.96,724.06,0
CUST1196,37,69,Month-to-Month,DSL,Yes,Mailed Check,21.11,1444.12,0
CUST1197,27,62,Month-to-Month,No Internet,No,Credit Card,46.14,2821.9,1
CUST1198,58,44,Month-to-Month,Fiber Optic,Yes,Mailed Check,79.71,3496.89,1
CUST1199,20,17,Two Year,No Internet,No,Bank Transfer,58.58,988.65,1
CUST1200,21,27,Month-to-Month,Fiber Optic,No,Mailed Check,115.65,3117.3,1
CUST1201,55,9,Month-to-Month,DSL,No,Bank Transfer,35.45,319.8,1
CUST1202,66,53,One Year,Fiber Optic,Yes,Mailed Check,42.87,2276.7,0
CUST1203,27,23,One Year,Fiber Optic,No,Credit Card,102.79,2364.78,1
CUST1204,55,57,Month-to-Month,Fiber Optic,Yes,Mailed Check,40.44,2326.53,0
CUST1205,54,54,Two Year,DSL,No,Mailed Check,112.35,6108.96,0
CUST1206,72,35,One Year,Fiber Optic,Yes,Bank Transfer,64.05,2269.64,0
CUST1207,25,13,Two Year,DSL,Yes,Credit Card,91.46,1123.77,1
CUST1208,52,5,Month-to-Month,No Internet,Yes,Electronic Check,23.84,195.91,0
CUST1209,63,45,One Year,Fiber Optic,No,Electronic Check,36.31,1714.12,0
CUST1210,38,56,Two Year,No Internet,Yes,Mailed Check,97.86,5454.37,0
CUST1211,68,21,One Year,Fiber Optic,No,Bank Transfer,50.82,1033.59,0
CUST1212,54,44,One Year,Fiber Optic,No,Credit Card,86.69,3837.24,0
CUST1213,38,50,Two Year,No Internet,No,Mailed Check,20.11,968.38,0
CUST1214,49,19,Two Year,Fiber Optic,No,Electronic Check,45.64,916.73,0
CUST1215,62,57,Month-to-Month,Fiber Optic,Yes,Credit Card,22.56,1215.61,0
CUST1216,70,22,One Year,DSL,Yes,Credit Card,117.04,2556.49,1
CUST1217,30,51,Month-to-Month,Fiber Optic,No,Mailed Check,80.94,4033.22,0
CUST1218,23,23,Month-to-Month,DSL,No,Mailed Check,78.24,1837.02,1
CUST1219,38,19,One Year,Fiber Optic,No,Electronic Check,77.32,1537.32,1
CUST1220,35,70,Month-to-Month,No Internet,No,Credit Card,87.21,6036.12,1
CUST1221,36,6,Two Year,Fiber Optic,No,Electronic Check,112.38,648.99,1
CUST1222,44,6,Month-to-Month,No Internet,No,Bank Transfer,73.68,521.04,0
CUST1223,18,71,Two Year,No Internet,No,Credit Card,41.23,2941.53,0
CUST1224,58,30,One Year,Fiber Optic,No,Electronic Check,23.14,741.55,0
CUST1225,18,17,Month-to-Month,No Internet,Yes,Bank Transfer,51.09,823.86,1
CUST1226,67,43,Month-to-Month,Fiber Optic,No,Credit Card,42.2,1804.22,0
CUST1227,74,47,One Year,No Internet,No,Bank Transfer,36.49,1639.45,0
CUST1228,22,69,One Year,DSL,Yes,Electronic Check,109.44,7472.44,0
CUST1229,61,67,One Year,No Internet,No,Mailed Check,54.62,3615.72,0
CUST1230,32,13,Month-to-Month,DSL,No,Bank Transfer,70.46,1014.44,1
CUST1231,69,55,One Year,Fiber Optic,Yes,Credit Card,48.13,2586.05,0
CUST1232,68,56,One Year,Fiber Optic,No,Credit Card,65.13,3593.78,0
CUST1233,21,17,One Year,Fiber Optic,No,Electronic Check,94.43,1644.67,1
CUST1234,24,6,Month-to-Month,Fiber Optic,No,Mailed Check,109.98,812.0,1
CUST1235,30,45,Month-to-Month,DSL,Yes,Electronic Check,105.39,4722.84,1
CUST1236,38,56,Two Year,Fiber Optic,Yes,Credit Card,98.14,5435.58,0
CUST1237,39,40,Month-to-Month,DSL,Yes,Credit Card,44.19,1808.2,0
CUST1238,49,71,One Year,Fiber Optic,Yes,Credit Card,56.43,3938.08,0
CUST1239,48,63,Month-to-Month,DSL,Yes,Bank Transfer,99.21,6253.67,1
CUST1240,51,3,Month-to-Month,Fiber Optic,No,Bank Transfer,96.34,205.96,1
CUST1241,60,38,Month-to-Month,DSL,No,Electronic Check,49.61,1937.56,1
CUST1242,58,47,Month-to-Month,No Internet,Yes,Mailed Check,52.34,2518.58,0
CUST1243,49,10,Month-to-Month,DSL,Yes,Bank Transfer,115.05,1111.5,1
CUST1244,19,36,Month-to-Month,Fiber Optic,No,Bank Transfer,69.44,2480.4,1
CUST1245,61,16,Two Year,No Internet,No,Bank Transfer,85.36,1392.05,0
CUST1246,37,21,Month-to-Month,DSL,Yes,Bank Transfer,115.57,2370.02,1
CUST1247,29,33,One Year,DSL,No,Credit Card,113.04,3811.84,1
CUST1248,47,22,Month-to-Month,DSL,Yes,Bank Transfer,35.84,878.27,0
CUST1249,48,71,One Year,Fiber Optic,No,Mailed Check,57.06,4117.42,0
CUST1250,20,1,Month-to-Month,DSL,Yes,Credit Card,114.47,172.38,1
CUST1251,70,34,Two Year,Fiber Optic,No,Credit Card,89.12,3070.27,0
CUST1252,24,22,Two Year,DSL,No,Electronic Check,97.68,2147.49,1
CUST1253,31,67,Month-to-Month,Fiber Optic,No,Mailed Check,101.92,6841.19,0
CUST1254,52,12,Two Year,DSL,No,Mailed Check,52.57,632.35,0
CUST1255,49,48,Month-to-Month,No Internet,Yes,Credit Card,73.32,3548.45,0
CUST1256,56,12,Two Year,Fiber Optic,Yes,Mailed Check,116.74,1310.45,1
CUST1257,45,37,One Year,DSL,No,Mailed Check,93.58,3485.41,0
CUST1258,72,44,Month-to-Month,Fiber Optic,Yes,Mailed Check,61.84,2651.16,0
CUST1259,71,54,Month-to-Month,No Internet,Yes,Credit Card,44.24,2471.63,1
CUST1260,29,8,Month-to-Month,DSL,No,Mailed Check,27.57,268.45,1
CUST1261,25,22,Two Year,DSL,Yes,Credit Card,64.76,1489.51,0
CUST1262,44,20,One Year,Fiber Optic,Yes,Bank Transfer,50.52,1072.02,0
CUST1263,72,46,Month-to-Month,Fiber Optic,No,Bank Transfer,77.01,3559.98,1
CUST1264,22,51,Month-to-Month,DSL,No,Credit Card,118.18,6022.97,1
CUST1265,38,34,Month-to-Month,No Internet,Yes,Credit Card,26.48,872.25,0
CUST1266,74,9,Month-to-Month,DSL,No,Bank Transfer,84.34,717.77,1
CUST1267,46,19,Month-to-Month,Fiber Optic,No,Mailed Check,40.73,820.79,1
CUST1268,21,60,Month-to-Month,No Internet,Yes,Electronic Check,34.84,2136.21,0
CUST1269,23,1,Month-to-Month,DSL,Yes,Electronic Check,108.18,107.4,1
CUST1270,27,14,Month-to-Month,Fiber Optic,No,Mailed Check,34.71,438.28,1
CUST1271,21,25,One Year,Fiber Optic,Yes,Bank Transfer,21.24,486.79,1
CUST1272,34,13,Two Year,No Internet,Yes,Bank Transfer,81.86,1037.33,0
CUST1273,54,50,One Year,Fiber Optic,No,Electronic Check,118.48,5845.68,1
CUST1274,26,68,Month-to-Month,Fiber Optic,No,Bank Transfer,91.89,6244.39,1
CUST1275,22,2,One Year,No Internet,No,Credit Card,84.04,215.85,1
CUST1276,67,38,Month-to-Month,DSL,No,Mailed Check,110.82,4171.1,1
CUST1277,23,38,Month-to-Month,No Internet,No,Mailed Check,84.69,3176.52,1
CUST1278,41,55,One Year,Fiber Optic,No,Credit Card,75.86,4180.92,0
CUST1279,55,44,Two Year,DSL,Yes,Electronic Check,75.6,3332.18,0
CUST1280,49,51,Month-to-Month,DSL,No,Mailed Check,103.96,5337.81,1
CUST1281,40,67,Month-to-Month,No Internet,No,Mailed Check,62.6,4199.71,0
CUST1282,20,9,Month-to-Month,Fiber Optic,Yes,Bank Transfer,57.59,396.46,1
CUST1283,37,63,One Year,Fiber Optic,Yes,Bank Transfer,40.74,2632.38,0
CUST1284,26,58,Two Year,Fiber Optic,Yes,Bank Transfer,51.17,2993.41,0
CUST1285,33,49,Month-to-Month,Fiber Optic,Yes,Credit Card,64.68,3225.29,1
CUST1286,68,33,Month-to-Month,DSL,No,Bank Transfer,21.78,789.87,0
CUST1287,26,67,Month-to-Month,Fiber Optic,No,Electronic Check,49.37,3330.43,0
CUST1288,24,23,One Year,Fiber Optic,Yes,Credit Card,20.21,466.73,0
CUST1289,58,68,Two Year,Fiber Optic,No,Electronic Check,28.06,1898.48,0
CUST1290,30,42,Month-to-Month,Fiber Optic,No,Credit Card,54.74,2327.09,1
CUST1291,19,29,Two Year,DSL,No,Bank Transfer,72.78,2135.5,0
CUST1292,52,54,One Year,DSL,No,Electronic Check,49.47,2721.39,0
CUST1293,54,46,Month-to-Month,Fiber Optic,No,Mailed Check,104.39,4823.03,1
CUST1294,23,42,Two Year,DSL,No,Electronic Check,46.59,1922.6,0
CUST1295,63,37,Month-to-Month,Fiber Optic,Yes,Mailed Check,52.24,1975.11,1
CUST1296,59,41,Month-to-Month,No Internet,No,Mailed Check,39.14,1570.57,1
CUST1297,48,13,Month-to-Month,Fiber Optic,Yes,Bank Transfer,59.53,778.93,1
CUST1298,39,37,Month-to-Month,Fiber Optic,Yes,Electronic Check,35.65,1434.03,1
CUST1299,43,70,Month-to-Month,DSL,No,Electronic Check,41.16,2808.51,0
CUST1300,40,60,One Year,Fiber Optic,No,Bank Transfer,61.78,3761.63,1
CUST1301,38,4,Month-to-Month,Fiber Optic,Yes,Electronic Check,27.4,138.35,1
CUST1302,34,38,Month-to-Month,Fiber Optic,No,Mailed Check,109.28,4167.02,1
CUST1303,26,47,Two Year,No Internet,No,Mailed Check,68.61,3187.66,0
CUST1304,65,15,One Year,No Internet,No,Credit Card,58.23,776.73,1
CUST1305,31,20,Month-to-Month,Fiber Optic,No,Credit Card,30.65,534.58,1
CUST1306,56,51,Two Year,Fiber Optic,Yes,Bank Transfer,79.42,4089.73,0
CUST1307,19,38,Two Year,No Internet,Yes,Credit Card,59.89,2294.15,0
CUST1308,73,58,Month-to-Month,Fiber Optic,Yes,Bank Transfer,39.9,2341.21,1
CUST1309,29,70,Month-to-Month,No Internet,Yes,Electronic Check,86.12,6045.07,1
CUST1310,59,12,Two Year,DSL,No,Mailed Check,67.84,744.54,0
CUST1311,61,27,Month-to-Month,DSL,Yes,Mailed Check,111.49,2975.67,1
CUST1312,61,35,Month-to-Month,Fiber Optic,Yes,Bank Transfer,107.1,3656.76,0
CUST1313,26,42,Month-to-Month,Fiber Optic,No,Electronic Check,54.81,2268.31,1
CUST1314,71,35,Month-to-Month,No Internet,No,Bank Transfer,60.28,2086.35,1
CUST1315,19,64,Two Year,Fiber Optic,No,Bank Transfer,111.21,7131.09,0
CUST1316,70,69,Two Year,Fiber Optic,Yes,Mailed Check,116.47,8053.85,0
CUST1317,61,68,Month-to-Month,Fiber Optic,Yes,Electronic Check,99.07,6754.2,0
CUST1318,67,5,Two Year,DSL,No,Bank Transfer,27.25,197.76,0
CUST1319,35,8,Month-to-Month,DSL,No,Electronic Check,24.1,260.26,0
CUST1320,20,59,Two Year,Fiber Optic,No,Mailed Check,81.76,4790.7,0
CUST1321,50,3,One Year,DSL,No,Electronic Check,95.47,259.69,1
