OrderID,OrderDate,Region,Category,UnitsSold,UnitPrice,PaymentMethod,CustomerAge,Revenue,Month,Quarter
1022,2024-01-16 08:39:26.332665,North,Electronics,46.0,233.74,Debit Card,67.0,10752.04,January,2024Q1
1023,2024-01-17 02:12:44.729458,South,Electronics,23.0,5.61,Cash,38.0,129.03,January,2024Q1
1024,2024-01-17 19:46:03.126252,South,Clothing,32.0,301.17,Online,38.0,9637.44,January,2024Q1
1025,2024-01-18 13:19:21.523046,East,Electronics,17.0,305.62,Debit Card,22.0,5195.54,January,2024Q1
1026,2024-01-19 06:52:39.919839,North,Grocery,17.0,263.135,Credit Card,65.0,4473.3,January,2024Q1
1027,2024-01-20 00:25:58.316633,North,Toys,14.0,281.41,Credit Card,37.0,3939.74,January,2024Q1
1028,2024-01-20 17:59:16.713426,East,Clothing,9.0,116.64,Credit Card,54.0,1049.76,January,2024Q1
1029,2024-01-21 11:32:35.110220,West,Electronics,40.0,84.61,Cash,20.0,3384.4,January,2024Q1
1030,2024-01-22 05:05:53.507014,North,Grocery,2.0,327.5,Credit Card,61.0,655.0,January,2024Q1
1031,2024-01-22 22:39:11.903807,West,Grocery,45.0,263.135,Debit Card,50.0,11841.08,January,2024Q1
1032,2024-01-23 16:12:30.300601,North,Electronics,25.0,297.18,Cash,26.0,7429.5,January,2024Q1
1033,2024-01-24 09:45:48.697394,North,Toys,39.0,219.46,Credit Card,45.0,8558.94,January,2024Q1
1034,2024-01-25 03:19:07.094188,Unknown,Electronics,9.0,492.25,Credit Card,21.0,4430.25,January,2024Q1
1035,2024-01-25 20:52:25.490981,Unknown,Clothing,22.0,79.04,Credit Card,52.0,1738.88,January,2024Q1
1036,2024-01-26 14:25:43.887775,South,Electronics,43.0,234.98,Online,34.0,10104.14,January,2024Q1
1037,2024-01-27 07:59:02.284569,South,Grocery,46.0,341.83,Credit Card,51.0,15724.18,January,2024Q1
1038,2024-01-28 01:32:20.681362,North,Electronics,4.0,200.79,Debit Card,41.0,803.16,January,2024Q1
1039,2024-01-28 19:05:39.078156,West,Toys,26.0,487.48,Online,49.0,12674.48,January,2024Q1
1040,2024-01-29 12:38:57.474949,East,Furniture,70.0,362.33,Debit Card,18.0,25363.1,January,2024Q1
1041,2024-01-30 06:12:15.871743,North,Electronics,45.0,330.21,Online,45.0,14859.45,January,2024Q1
1042,2024-01-30 23:45:34.268537,East,Toys,34.0,379.74,Cash,62.0,12911.16,January,2024Q1
1043,2024-01-31 17:18:52.665330,North,Toys,23.0,476.56,Unknown,40.0,10960.88,January,2024Q1
1044,2024-02-01 10:52:11.062124,Unknown,Grocery,37.0,454.37,Credit Card,64.0,16811.69,February,2024Q1
1045,2024-02-02 04:25:29.458917,South,Toys,11.0,363.52,Credit Card,57.0,3998.72,February,2024Q1
1046,2024-02-02 21:58:47.855711,West,Toys,6.0,375.84,Debit Card,29.0,2255.04,February,2024Q1
1047,2024-02-03 15:32:06.252505,South,Toys,18.0,77.23,Online,29.0,1390.14,February,2024Q1
1048,2024-02-04 09:05:24.649298,East,Toys,21.0,55.88,Online,63.0,1173.48,February,2024Q1
1049,2024-02-05 02:38:43.046092,East,Clothing,42.0,287.6,Credit Card,64.0,12079.2,February,2024Q1
1050,2024-02-05 20:12:01.442885,North,Clothing,36.0,14.09,Credit Card,32.0,507.24,February,2024Q1
1051,2024-02-06 13:45:19.839679,Unknown,Grocery,41.0,243.77,Online,58.0,9994.57,February,2024Q1
1052,2024-02-07 07:18:38.236472,North,Electronics,38.0,109.12,Credit Card,36.0,4146.56,February,2024Q1
1053,2024-02-08 00:51:56.633266,Unknown,Toys,34.0,176.28,Debit Card,43.0,5993.52,February,2024Q1
1054,2024-02-08 18:25:15.030060,South,Electronics,17.0,389.02,Online,69.0,6613.34,February,2024Q1
1055,2024-02-09 11:58:33.426853,West,Electronics,37.0,470.91,Cash,46.0,17423.67,February,2024Q1
1056,2024-02-10 05:31:51.823647,Unknown,Grocery,25.0,40.85,Cash,39.0,1021.25,February,2024Q1
1057,2024-02-10 23:05:10.220440,North,Toys,38.0,269.45,Cash,57.0,10239.1,February,2024Q1
1058,2024-02-11 16:38:28.617234,North,Toys,12.0,441.85,Credit Card,38.0,5302.2,February,2024Q1
1059,2024-02-12 10:11:47.014028,North,Furniture,23.0,45.84,Online,68.0,1054.32,February,2024Q1
1060,2024-02-13 03:45:05.410821,South,Electronics,42.0,413.13,Cash,55.0,17351.46,February,2024Q1
1061,2024-02-13 21:18:23.807615,South,Electronics,22.0,182.11,Online,37.0,4006.42,February,2024Q1
1062,2024-02-14 14:51:42.204408,South,Clothing,21.0,164.44,Credit Card,46.0,3453.24,February,2024Q1
1063,2024-02-15 08:25:00.601202,South,Furniture,27.0,488.85,Unknown,68.0,13198.95,February,2024Q1
1064,2024-02-16 01:58:18.997995,South,Clothing,31.0,263.135,Cash,21.0,8157.18,February,2024Q1
1065,2024-02-16 19:31:37.394789,South,Clothing,6.0,348.13,Credit Card,24.0,2088.78,February,2024Q1
1066,2024-02-17 13:04:55.791583,East,Clothing,27.0,411.61,Credit Card,45.0,11113.47,February,2024Q1
1067,2024-02-18 06:38:14.188376,North,Grocery,40.0,25.39,Debit Card,45.0,1015.6,February,2024Q1
1068,2024-02-19 00:11:32.585170,South,Grocery,34.0,336.84,Debit Card,21.0,11452.56,February,2024Q1
1069,2024-02-19 17:44:50.981963,North,Clothing,12.0,476.02,Online,39.0,5712.24,February,2024Q1
1070,2024-02-20 11:18:09.378757,Unknown,Furniture,45.0,66.49,Credit Card,29.0,2992.05,February,2024Q1
1071,2024-02-21 04:51:27.775551,North,Electronics,7.0,448.63,Credit Card,62.0,3140.41,February,2024Q1
1072,2024-02-21 22:24:46.172344,North,Furniture,10.0,263.135,Cash,20.0,2631.35,February,2024Q1
1073,2024-02-22 15:58:04.569138,North,Toys,45.0,310.22,Cash,39.0,13959.9,February,2024Q1
1074,2024-02-23 09:31:22.965931,South,Grocery,17.0,308.41,Cash,61.0,5242.97,February,2024Q1
1075,2024-02-24 03:04:41.362725,North,Electronics,26.0,152.92,Unknown,19.0,3975.92,February,2024Q1
1076,2024-02-24 20:37:59.759519,North,Electronics,21.0,467.92,Unknown,45.0,9826.32,February,2024Q1
1077,2024-02-25 14:11:18.156312,North,Toys,28.0,473.94,Online,51.0,13270.32,February,2024Q1
1078,2024-02-26 07:44:36.553106,North,Toys,46.0,314.53,Debit Card,45.0,14468.38,February,2024Q1
1079,2024-02-27 01:17:54.949899,South,Clothing,2.0,392.79,Cash,58.0,785.58,February,2024Q1
1080,2024-02-27 18:51:13.346693,North,Grocery,43.0,308.07,Cash,18.0,13247.01,February,2024Q1
1081,2024-02-28 12:24:31.743486,South,Grocery,1.0,244.78,Cash,94.375,244.78,February,2024Q1
1082,2024-02-29 05:57:50.140280,West,Furniture,36.0,332.11,Online,40.0,11955.96,February,2024Q1
1083,2024-02-29 23:31:08.537074,South,Clothing,26.0,278.74,Credit Card,55.0,7247.24,February,2024Q1
1084,2024-03-01 17:04:26.933867,North,Clothing,29.0,300.75,Cash,23.0,8721.75,March,2024Q1
1085,2024-03-02 10:37:45.330661,South,Clothing,21.0,393.0,Credit Card,39.0,8253.0,March,2024Q1
1086,2024-03-03 04:11:03.727454,South,Clothing,11.0,243.05,Cash,42.0,2673.55,March,2024Q1
1087,2024-03-03 21:44:22.124248,North,Grocery,40.0,263.135,Online,35.0,10525.4,March,2024Q1
1088,2024-03-04 15:17:40.521042,West,Grocery,11.0,86.18,Debit Card,34.0,947.98,March,2024Q1
1089,2024-03-05 08:50:58.917835,South,Clothing,36.0,222.11,Credit Card,29.0,7995.96,March,2024Q1
1090,2024-03-06 02:24:17.314629,East,Furniture,49.0,363.79,Unknown,23.0,17825.71,March,2024Q1
1091,2024-03-06 19:57:35.711422,North,Electronics,26.0,298.67,Debit Card,43.0,7765.42,March,2024Q1
1092,2024-03-07 13:30:54.108216,North,Electronics,40.0,326.9,Credit Card,44.0,13076.0,March,2024Q1
1093,2024-03-08 07:04:12.505010,North,Furniture,70.0,242.24,Credit Card,25.0,16956.8,March,2024Q1
1094,2024-03-09 00:37:30.901803,West,Clothing,34.0,309.79,Credit Card,36.0,10532.86,March,2024Q1
1095,2024-03-09 18:10:49.298597,North,Grocery,47.0,167.86,Credit Card,59.0,7889.42,March,2024Q1
1096,2024-03-10 11:44:07.695390,East,Electronics,24.0,237.74,Unknown,18.0,5705.76,March,2024Q1
1097,2024-03-11 05:17:26.092184,East,Toys,26.0,373.42,Cash,46.0,9708.92,March,2024Q1
1098,2024-03-11 22:50:44.488977,East,Toys,5.0,436.56,Online,45.0,2182.8,March,2024Q1
1099,2024-03-12 16:24:02.885771,North,Furniture,33.0,263.135,Cash,66.0,8683.46,March,2024Q1
1100,2024-03-13 09:57:21.282565,North,Clothing,36.0,26.61,Credit Card,52.0,957.96,March,2024Q1
1101,2024-03-14 03:30:39.679358,North,Electronics,47.0,263.135,Cash,57.0,12367.34,March,2024Q1
1102,2024-03-14 21:03:58.076152,West,Clothing,20.0,15.33,Credit Card,31.0,306.6,March,2024Q1
1103,2024-03-15 14:37:16.472945,South,Electronics,26.0,328.37,Cash,52.0,8537.62,March,2024Q1
1104,2024-03-16 08:10:34.869739,East,Furniture,35.0,169.5,Online,65.0,5932.5,March,2024Q1
1105,2024-03-17 01:43:53.266533,Unknown,Furniture,43.0,273.53,Cash,45.0,11761.79,March,2024Q1
1106,2024-03-17 19:17:11.663326,South,Toys,17.0,249.17,Debit Card,37.0,4235.89,March,2024Q1
1107,2024-03-18 12:50:30.060120,East,Clothing,45.0,45.36,Credit Card,66.0,2041.2,March,2024Q1
1108,2024-03-19 06:23:48.456913,North,Toys,43.0,204.61,Credit Card,30.0,8798.23,March,2024Q1
1109,2024-03-19 23:57:06.853707,South,Clothing,34.0,114.18,Credit Card,55.0,3882.12,March,2024Q1
1110,2024-03-20 17:30:25.250501,North,Toys,26.0,212.11,Debit Card,66.0,5514.86,March,2024Q1
1111,2024-03-21 11:03:43.647294,South,Grocery,26.0,105.77,Credit Card,63.0,2750.02,March,2024Q1
1112,2024-03-22 04:37:02.044088,North,Grocery,2.0,421.02,Cash,66.0,842.04,March,2024Q1
1113,2024-03-22 22:10:20.440881,Unknown,Grocery,9.0,91.23,Debit Card,25.0,821.07,March,2024Q1
1114,2024-03-23 15:43:38.837675,South,Grocery,9.0,480.59,Cash,60.0,4325.31,March,2024Q1
1115,2024-03-24 09:16:57.234468,West,Electronics,40.0,263.135,Credit Card,37.0,10525.4,March,2024Q1
1116,2024-03-25 02:50:15.631262,South,Grocery,17.0,423.89,Credit Card,50.0,7206.13,March,2024Q1
1117,2024-03-25 20:23:34.028056,South,Furniture,1.0,316.24,Online,43.0,316.24,March,2024Q1
1118,2024-03-26 13:56:52.424849,North,Furniture,25.0,369.0,Debit Card,56.0,9225.0,March,2024Q1
1119,2024-03-27 07:30:10.821643,South,Electronics,43.0,263.135,Cash,38.0,11314.8,March,2024Q1
1120,2024-03-28 01:03:29.218436,East,Grocery,40.0,254.9,Credit Card,66.0,10196.0,March,2024Q1
1121,2024-03-28 18:36:47.615230,South,Grocery,42.0,273.93,Unknown,59.0,11505.06,March,2024Q1
1122,2024-03-29 12:10:06.012024,South,Grocery,25.0,259.43,Debit Card,60.0,6485.75,March,2024Q1
1123,2024-03-30 05:43:24.408817,South,Toys,39.0,296.09,Cash,58.0,11547.51,March,2024Q1
1124,2024-03-30 23:16:42.805611,North,Clothing,35.0,19.55,Online,26.0,684.25,March,2024Q1
1125,2024-03-31 16:50:01.202404,South,Toys,3.0,200.78,Credit Card,41.0,602.34,March,2024Q1
1126,2024-04-01 10:23:19.599198,East,Clothing,37.0,305.06,Cash,54.0,11287.22,April,2024Q2
1127,2024-04-02 03:56:37.995991,South,Grocery,44.0,300.87,Debit Card,66.0,13238.28,April,2024Q2
1128,2024-04-02 21:29:56.392785,South,Grocery,44.0,397.51,Credit Card,58.0,17490.44,April,2024Q2
1129,2024-04-03 15:03:14.789579,North,Toys,26.0,329.23,Unknown,34.0,8559.98,April,2024Q2
1130,2024-04-04 08:36:33.186372,East,Toys,38.0,263.135,Debit Card,41.0,9999.13,April,2024Q2
1131,2024-04-05 02:09:51.583166,East,Clothing,34.0,145.51,Debit Card,38.0,4947.34,April,2024Q2
1132,2024-04-05 19:43:09.979959,South,Furniture,12.0,182.78,Credit Card,68.0,2193.36,April,2024Q2
1133,2024-04-06 13:16:28.376753,North,Clothing,19.0,195.0,Credit Card,56.0,3705.0,April,2024Q2
1134,2024-04-07 06:49:46.773547,South,Toys,37.0,235.58,Cash,58.0,8716.46,April,2024Q2
1135,2024-04-08 00:23:05.170340,Unknown,Toys,44.0,418.82,Debit Card,56.0,18428.08,April,2024Q2
1136,2024-04-08 17:56:23.567134,South,Electronics,49.0,263.135,Credit Card,30.0,12893.62,April,2024Q2
1137,2024-04-09 11:29:41.963927,East,Toys,17.0,389.12,Cash,28.0,6615.04,April,2024Q2
1138,2024-04-10 05:03:00.360721,North,Electronics,10.0,205.63,Debit Card,63.0,2056.3,April,2024Q2
1139,2024-04-10 22:36:18.757515,South,Furniture,49.0,302.92,Credit Card,36.0,14843.08,April,2024Q2
1140,2024-04-11 16:09:37.154308,Unknown,Clothing,47.0,318.11,Debit Card,28.0,14951.17,April,2024Q2
1141,2024-04-12 09:42:55.551102,Unknown,Clothing,12.0,189.56,Credit Card,30.0,2274.72,April,2024Q2
1142,2024-04-13 03:16:13.947895,South,Electronics,16.0,258.74,Unknown,63.0,4139.84,April,2024Q2
1143,2024-04-13 20:49:32.344689,East,Clothing,24.0,209.45,Cash,62.0,5026.8,April,2024Q2
1144,2024-04-14 14:22:50.741482,South,Toys,19.0,39.22,Credit Card,18.0,745.18,April,2024Q2
1145,2024-04-15 07:56:09.138276,South,Grocery,8.0,221.4,Cash,57.0,1771.2,April,2024Q2
1146,2024-04-16 01:29:27.535070,North,Electronics,31.0,53.21,Cash,61.0,1649.51,April,2024Q2
1147,2024-04-16 19:02:45.931863,West,Clothing,21.0,205.49,Debit Card,36.0,4315.29,April,2024Q2
1148,2024-04-17 12:36:04.328657,East,Electronics,17.0,298.49,Debit Card,29.0,5074.33,April,2024Q2
1149,2024-04-18 06:09:22.725450,North,Electronics,23.0,291.81,Debit Card,25.0,6711.63,April,2024Q2
1150,2024-04-18 23:42:41.122244,South,Grocery,26.0,333.0,Credit Card,25.0,8658.0,April,2024Q2
1151,2024-04-19 17:15:59.519038,Unknown,Toys,16.0,52.15,Credit Card,62.0,834.4,April,2024Q2
1152,2024-04-20 10:49:17.915831,South,Electronics,6.0,327.8,Credit Card,29.0,1966.8,April,2024Q2
1153,2024-04-21 04:22:36.312625,North,Clothing,8.0,159.51,Debit Card,65.0,1276.08,April,2024Q2
1154,2024-04-21 21:55:54.709418,East,Furniture,25.0,202.53,Online,50.0,5063.25,April,2024Q2
1155,2024-04-22 15:29:13.106212,Unknown,Electronics,18.0,429.7,Cash,62.0,7734.6,April,2024Q2
1156,2024-04-23 09:02:31.503006,South,Electronics,25.0,9.47,Credit Card,43.0,236.75,April,2024Q2
1157,2024-04-24 02:35:49.899799,West,Grocery,12.0,296.26,Debit Card,45.0,3555.12,April,2024Q2
1158,2024-04-24 20:09:08.296593,North,Toys,15.0,301.36,Online,45.0,4520.4,April,2024Q2
1159,2024-04-25 13:42:26.693386,South,Furniture,26.0,201.35,Debit Card,22.0,5235.1,April,2024Q2
1160,2024-04-26 07:15:45.090180,North,Clothing,41.0,122.33,Online,25.0,5015.53,April,2024Q2
1161,2024-04-27 00:49:03.486973,South,Furniture,45.0,121.16,Credit Card,42.0,5452.2,April,2024Q2
1162,2024-04-27 18:22:21.883767,West,Clothing,26.0,442.44,Credit Card,-2.625,11503.44,April,2024Q2
1163,2024-04-28 11:55:40.280561,West,Toys,47.0,223.8,Online,63.0,10518.6,April,2024Q2
1164,2024-04-29 05:28:58.677354,East,Clothing,32.0,168.79,Debit Card,40.0,5401.28,April,2024Q2
1165,2024-04-29 23:02:17.074148,North,Grocery,10.0,227.14,Cash,47.0,2271.4,April,2024Q2
1166,2024-04-30 16:35:35.470941,South,Grocery,16.0,336.35,Debit Card,62.0,5381.6,April,2024Q2
1167,2024-05-01 10:08:53.867735,South,Grocery,7.0,77.15,Online,64.0,540.05,May,2024Q2
1168,2024-05-02 03:42:12.264529,North,Grocery,17.0,227.47,Debit Card,40.0,3866.99,May,2024Q2
1169,2024-05-02 21:15:30.661322,North,Furniture,23.0,296.0,Debit Card,45.0,6808.0,May,2024Q2
1170,2024-05-03 14:48:49.058116,West,Toys,26.0,263.135,Cash,64.0,6841.51,May,2024Q2
1171,2024-05-04 08:22:07.454909,West,Clothing,21.0,130.0,Cash,37.0,2730.0,May,2024Q2
1172,2024-05-05 01:55:25.851703,North,Clothing,22.0,263.135,Cash,35.0,5788.97,May,2024Q2
1173,2024-05-05 19:28:44.248496,East,Grocery,7.0,192.78,Online,35.0,1349.46,May,2024Q2
1174,2024-05-06 13:02:02.645290,South,Grocery,14.0,304.74,Online,94.375,4266.36,May,2024Q2
1175,2024-05-07 06:35:21.042084,West,Electronics,15.0,181.58,Online,21.0,2723.7,May,2024Q2
1176,2024-05-08 00:08:39.438877,North,Toys,7.0,269.09,Credit Card,47.0,1883.63,May,2024Q2
1177,2024-05-08 17:41:57.835671,West,Furniture,9.0,391.99,Debit Card,50.0,3527.91,May,2024Q2
1178,2024-05-09 11:15:16.232464,South,Clothing,48.0,354.17,Debit Card,53.0,17000.16,May,2024Q2
1179,2024-05-10 04:48:34.629258,Unknown,Electronics,8.0,225.95,Debit Card,35.0,1807.6,May,2024Q2
1180,2024-05-10 22:21:53.026052,North,Electronics,23.0,432.79,Debit Card,54.0,9954.17,May,2024Q2
1181,2024-05-11 15:55:11.422845,South,Clothing,29.0,281.28,Online,36.0,8157.12,May,2024Q2
1182,2024-05-12 09:28:29.819639,North,Furniture,18.0,272.25,Cash,64.0,4900.5,May,2024Q2
1183,2024-05-13 03:01:48.216432,Unknown,Electronics,31.0,21.92,Cash,45.0,679.52,May,2024Q2
1184,2024-05-13 20:35:06.613226,South,Electronics,30.0,263.135,Credit Card,57.0,7894.05,May,2024Q2
1185,2024-05-14 14:08:25.010020,South,Toys,39.0,65.87,Cash,37.0,2568.93,May,2024Q2
1186,2024-05-15 07:41:43.406813,West,Furniture,35.0,119.41,Debit Card,66.0,4179.35,May,2024Q2
1187,2024-05-16 01:15:01.803607,South,Electronics,18.0,30.59,Debit Card,50.0,550.62,May,2024Q2
1188,2024-05-16 18:48:20.200400,West,Furniture,42.0,321.8,Credit Card,29.0,13515.6,May,2024Q2
1189,2024-05-17 12:21:38.597194,East,Clothing,39.0,116.23,Credit Card,68.0,4532.97,May,2024Q2
1190,2024-05-18 05:54:56.993987,South,Grocery,17.0,94.11,Debit Card,45.0,1599.87,May,2024Q2
1191,2024-05-18 23:28:15.390781,North,Electronics,14.0,48.84,Credit Card,58.0,683.76,May,2024Q2
1192,2024-05-19 17:01:33.787575,South,Toys,31.0,56.14,Credit Card,56.0,1740.34,May,2024Q2
1193,2024-05-20 10:34:52.184368,Unknown,Clothing,70.0,294.41,Credit Card,19.0,20608.7,May,2024Q2
1194,2024-05-21 04:08:10.581162,West,Furniture,35.0,345.66,Credit Card,46.0,12098.1,May,2024Q2
1195,2024-05-21 21:41:28.977955,South,Clothing,44.0,201.7,Credit Card,58.0,8874.8,May,2024Q2
1196,2024-05-22 15:14:47.374749,South,Electronics,45.0,242.55,Cash,27.0,10914.75,May,2024Q2
1197,2024-05-23 08:48:05.771543,North,Furniture,26.0,344.55,Cash,19.0,8958.3,May,2024Q2
1198,2024-05-24 02:21:24.168336,South,Grocery,3.0,13.6,Online,45.0,40.8,May,2024Q2
1199,2024-05-24 19:54:42.565130,South,Clothing,37.0,164.95,Cash,28.0,6103.15,May,2024Q2
1200,2024-05-25 13:28:00.961923,North,Electronics,43.0,486.68,Debit Card,30.0,20927.24,May,2024Q2
1201,2024-05-26 07:01:19.358717,West,Toys,40.0,292.16,Credit Card,27.0,11686.4,May,2024Q2
1202,2024-05-27 00:34:37.755511,North,Furniture,26.0,130.84,Credit Card,31.0,3401.84,May,2024Q2
1203,2024-05-27 18:07:56.152304,North,Clothing,23.0,263.26,Debit Card,35.0,6054.98,May,2024Q2
1204,2024-05-28 11:41:14.549098,South,Clothing,44.0,174.61,Credit Card,68.0,7682.84,May,2024Q2
1205,2024-05-29 05:14:32.945891,West,Grocery,39.0,268.46,Cash,26.0,10469.94,May,2024Q2
1206,2024-05-29 22:47:51.342685,North,Grocery,15.0,67.24,Debit Card,56.0,1008.6,May,2024Q2
1207,2024-05-30 16:21:09.739478,North,Toys,49.0,70.69,Debit Card,45.0,3463.81,May,2024Q2
1208,2024-05-31 09:54:28.136272,West,Toys,4.0,76.05,Credit Card,20.0,304.2,May,2024Q2
1209,2024-06-01 03:27:46.533066,North,Electronics,29.0,470.21,Cash,37.0,13636.09,June,2024Q2
1210,2024-06-01 21:01:04.929859,North,Electronics,22.0,367.78,Debit Card,45.0,8091.16,June,2024Q2
1211,2024-06-02 14:34:23.326653,East,Toys,25.0,85.38,Credit Card,44.0,2134.5,June,2024Q2
1212,2024-06-03 08:07:41.723446,West,Toys,13.0,98.23,Debit Card,45.0,1276.99,June,2024Q2
1213,2024-06-04 01:41:00.120240,West,Furniture,18.0,366.76,Debit Card,46.0,6601.68,June,2024Q2
1214,2024-06-04 19:14:18.517034,South,Grocery,33.0,82.3,Unknown,55.0,2715.9,June,2024Q2
1215,2024-06-05 12:47:36.913827,North,Electronics,16.0,121.11,Credit Card,20.0,1937.76,June,2024Q2
1216,2024-06-06 06:20:55.310621,South,Grocery,45.0,481.86,Online,33.0,21683.7,June,2024Q2
1217,2024-06-06 23:54:13.707414,South,Grocery,42.0,131.38,Cash,47.0,5517.96,June,2024Q2
1218,2024-06-07 17:27:32.104208,North,Toys,44.0,332.51,Cash,57.0,14630.44,June,2024Q2
1219,2024-06-08 11:00:50.501002,West,Furniture,2.0,489.42,Credit Card,19.0,978.84,June,2024Q2
1220,2024-06-09 04:34:08.897795,South,Clothing,26.0,190.28,Debit Card,34.0,4947.28,June,2024Q2
1221,2024-06-09 22:07:27.294589,West,Furniture,42.0,13.67,Credit Card,58.0,574.14,June,2024Q2
1222,2024-06-10 15:40:45.691382,West,Furniture,34.0,125.85,Cash,29.0,4278.9,June,2024Q2
1223,2024-06-11 09:14:04.088176,North,Grocery,30.0,416.28,Credit Card,52.0,12488.4,June,2024Q2
1224,2024-06-12 02:47:22.484969,South,Furniture,13.0,432.98,Online,60.0,5628.74,June,2024Q2
1225,2024-06-12 20:20:40.881763,South,Electronics,13.0,385.42,Debit Card,18.0,5010.46,June,2024Q2
1226,2024-06-13 13:53:59.278557,South,Grocery,18.0,60.99,Debit Card,62.0,1097.82,June,2024Q2
1227,2024-06-14 07:27:17.675350,Unknown,Electronics,32.0,398.78,Credit Card,32.0,12760.96,June,2024Q2
1228,2024-06-15 01:00:36.072144,South,Clothing,32.0,459.75,Credit Card,43.0,14712.0,June,2024Q2
1229,2024-06-15 18:33:54.468937,South,Grocery,35.0,302.3,Debit Card,54.0,10580.5,June,2024Q2
1230,2024-06-16 12:07:12.865731,West,Clothing,39.0,470.73,Cash,38.0,18358.47,June,2024Q2
1231,2024-06-17 05:40:31.262525,North,Grocery,46.0,414.29,Credit Card,66.0,19057.34,June,2024Q2
1232,2024-06-17 23:13:49.659318,East,Toys,29.0,263.135,Debit Card,48.0,7630.92,June,2024Q2
1233,2024-06-18 16:47:08.056112,West,Furniture,49.0,263.135,Unknown,42.0,12893.62,June,2024Q2
1234,2024-06-19 10:20:26.452905,East,Toys,29.0,177.54,Debit Card,40.0,5148.66,June,2024Q2
1235,2024-06-20 03:53:44.849699,North,Clothing,44.0,83.85,Debit Card,41.0,3689.4,June,2024Q2
1236,2024-06-20 21:27:03.246492,North,Furniture,16.0,304.45,Unknown,45.0,4871.2,June,2024Q2
1237,2024-06-21 15:00:21.643286,South,Grocery,44.0,162.47,Credit Card,45.0,7148.68,June,2024Q2
1238,2024-06-22 08:33:40.040080,North,Furniture,47.0,433.89,Debit Card,38.0,20392.83,June,2024Q2
1239,2024-06-23 02:06:58.436873,West,Electronics,26.0,496.7,Unknown,60.0,12914.2,June,2024Q2
1240,2024-06-23 19:40:16.833667,North,Furniture,26.0,377.45,Credit Card,35.0,9813.7,June,2024Q2
1241,2024-06-24 13:13:35.230460,Unknown,Electronics,25.0,49.79,Debit Card,53.0,1244.75,June,2024Q2
1242,2024-06-25 06:46:53.627254,Unknown,Furniture,26.0,147.9,Debit Card,52.0,3845.4,June,2024Q2
1243,2024-06-26 00:20:12.024048,Unknown,Electronics,20.0,59.01,Debit Card,62.0,1180.2,June,2024Q2
1244,2024-06-26 17:53:30.420841,South,Clothing,5.0,327.0,Debit Card,26.0,1635.0,June,2024Q2
1245,2024-06-27 11:26:48.817635,North,Toys,1.0,383.77,Online,55.0,383.77,June,2024Q2
1246,2024-06-28 05:00:07.214428,Unknown,Grocery,26.0,463.21,Debit Card,47.0,12043.46,June,2024Q2
1247,2024-06-28 22:33:25.611222,East,Furniture,26.0,221.9,Credit Card,61.0,5769.4,June,2024Q2
